                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.90319,                0.99753,                 2.1412,                0.78548,                0.70968,                0.82694,                0.72033,                 1.4407,                 1.3005,                 2.6419,              0.0016594,              0.0016594,              0.0016594
                     88,                0.96055,                 1.0692,                 2.2018,                 0.9265,                0.65058,                0.79638,                0.69668,                 1.5565,                 1.5482,                 2.7392,              0.0016555,              0.0016555,              0.0016555
                     89,                 1.0414,                 1.0668,                 2.2599,                0.89142,                0.68856,                0.83734,                0.72585,                 1.3464,                 1.4491,                 2.5297,              0.0016515,              0.0016515,              0.0016515
                     90,                0.98812,                 1.0585,                 2.2122,                0.86429,                0.69849,                 0.8481,                0.73143,                 1.4628,                 1.1836,                 2.6265,              0.0016476,              0.0016476,              0.0016476
                     91,                0.98814,                 1.0216,                 2.1969,                0.91748,                0.65161,                0.84352,                0.72405,                 1.1976,                 1.1793,                 2.4155,              0.0016436,              0.0016436,              0.0016436
                     92,                 1.0081,                 1.0138,                 2.2132,                0.81465,                0.76563,                0.88093,                0.74833,                 1.5261,                 1.2117,                 2.6952,              0.0016396,              0.0016396,              0.0016396
                     93,                0.91853,                 0.9691,                 2.1511,                0.74851,                    0.8,                0.85439,                0.74463,                  1.535,                 1.2074,                 2.6961,              0.0016357,              0.0016357,              0.0016357
                     94,                0.97301,                 1.0464,                 2.2149,                0.76126,                0.80234,                0.84565,                0.72979,                 1.4485,                 1.3072,                 2.6776,              0.0016317,              0.0016317,              0.0016317
                     95,                0.96529,                  1.045,                 2.1846,                0.89963,                0.69677,                0.83714,                0.71839,                 1.4862,                 1.3568,                 2.6837,              0.0016278,              0.0016278,              0.0016278
                     96,                0.94243,                 1.0239,                 2.1661,                0.82498,                0.69945,                0.80655,                0.71201,                 1.4454,                 1.2821,                 2.6462,              0.0016238,              0.0016238,              0.0016238
                     97,                0.88432,                0.98599,                 2.1245,                0.86508,                0.72258,                0.83227,                0.69923,                 1.4023,                 1.1926,                 2.5771,              0.0016198,              0.0016198,              0.0016198
                     98,                0.95017,                      1,                 2.1551,                0.90798,                0.65161,                0.82967,                0.71806,                  1.434,                 1.2934,                 2.6976,              0.0016159,              0.0016159,              0.0016159
                     99,                0.96559,                 1.0621,                 2.1707,                0.88222,                0.67654,                0.86143,                0.73696,                 1.4464,                 1.2082,                 2.6374,              0.0016119,              0.0016119,              0.0016119
                    100,                0.94479,                 1.0157,                 2.1565,                0.88661,                0.70625,                0.86445,                0.73347,                 1.3591,                 1.2038,                 2.5978,               0.001608,               0.001608,               0.001608
                    101,                0.95143,                 1.0554,                 2.1566,                0.77937,                0.79766,                0.87614,                0.74631,                 1.5484,                 1.1905,                 2.6981,               0.001604,               0.001604,               0.001604
                    102,                0.91069,                0.96014,                 2.1334,                0.88331,                0.80645,                0.89213,                0.74827,                 1.4234,                 1.1168,                 2.7092,                 0.0016,                 0.0016,                 0.0016
                    103,                0.97869,                 1.0456,                 2.1668,                 0.8295,                0.79355,                0.87252,                0.76344,                 1.4602,                 1.1368,                 2.6346,              0.0015961,              0.0015961,              0.0015961
                    104,                0.87449,                0.97439,                 2.1115,                0.89207,                0.74652,                0.86482,                0.74691,                 1.3198,                 1.0897,                 2.5073,              0.0015921,              0.0015921,              0.0015921
                    105,                0.96688,                 1.0635,                 2.1582,                0.75155,                0.83917,                0.85349,                0.73639,                 1.3526,                 1.1855,                 2.5395,              0.0015882,              0.0015882,              0.0015882
                    106,                0.83458,                0.97392,                 2.0864,                0.81539,                0.78065,                0.86338,                0.75243,                 1.3985,                 1.2179,                 2.6529,              0.0015842,              0.0015842,              0.0015842
                    107,                0.91167,                0.98622,                 2.1381,                0.83402,                0.79355,                0.88001,                0.75873,                 1.2792,                 1.0557,                 2.5597,              0.0015802,              0.0015802,              0.0015802
                    108,                0.85678,                0.92394,                 2.0886,                0.86804,                0.69677,                 0.8424,                0.73262,                 1.3454,                 1.1519,                 2.5498,              0.0015763,              0.0015763,              0.0015763
                    109,                0.90485,                0.95784,                 2.1385,                0.81877,                0.78065,                0.87882,                0.75734,                 1.1121,                0.98521,                 2.3906,              0.0015723,              0.0015723,              0.0015723
                    110,                0.88475,                0.93483,                 2.0958,                0.86616,                 0.7098,                0.83559,                0.72113,                 1.2857,                 1.1841,                   2.55,              0.0015684,              0.0015684,              0.0015684
                    111,                0.92614,                 0.9594,                 2.1446,                 0.8766,                0.75484,                0.85739,                0.74598,                 1.3024,                 1.1052,                 2.5011,              0.0015644,              0.0015644,              0.0015644
                    112,                0.87565,                0.93704,                 2.0923,                0.86093,                0.76129,                0.86051,                0.74451,                 1.2976,                    1.1,                 2.5307,              0.0015604,              0.0015604,              0.0015604
                    113,                0.91051,                0.96337,                 2.1547,                0.91575,                0.70124,                0.85907,                0.75065,                 1.2096,                 1.1841,                 2.4179,              0.0015565,              0.0015565,              0.0015565
                    114,                 0.9728,                 1.0382,                 2.1833,                0.78879,                0.80645,                0.85382,                0.73892,                 1.2968,                 1.3709,                 2.4875,              0.0015525,              0.0015525,              0.0015525
                    115,                0.89539,                0.95795,                 2.1201,                0.87261,                0.71613,                0.84339,                0.73415,                 1.2931,                 1.0999,                 2.4713,              0.0015486,              0.0015486,              0.0015486
                    116,                0.88361,                0.92941,                  2.089,                0.89036,                0.78587,                0.87136,                0.72023,                 1.3725,                 1.2412,                 2.5788,              0.0015446,              0.0015446,              0.0015446
                    117,                  0.902,                0.95307,                 2.1357,                0.85692,                0.72258,                0.85765,                0.73913,                 1.3516,                 1.0926,                 2.5427,              0.0015406,              0.0015406,              0.0015406
                    118,                0.84691,                0.92947,                 2.0948,                0.86916,                0.78065,                0.87479,                0.75615,                 1.3325,                 1.0223,                  2.566,              0.0015367,              0.0015367,              0.0015367
                    119,                0.90136,                0.93235,                 2.1279,                0.83671,                0.76129,                0.86014,                0.76146,                 1.1935,                0.97973,                 2.4142,              0.0015327,              0.0015327,              0.0015327
                    120,                0.89306,                0.89576,                  2.114,                0.91911,                0.70323,                0.85377,                0.75041,                 1.4102,                 1.0086,                 2.6121,              0.0015288,              0.0015288,              0.0015288
                    121,                0.89977,                0.93209,                 2.1148,                0.86029,                0.77419,                 0.8639,                0.74939,                 1.2546,                  1.023,                 2.4574,              0.0015248,              0.0015248,              0.0015248
                    122,                0.92185,                 1.0062,                  2.141,                 0.8715,                0.74386,                0.88203,                0.77176,                  1.161,                0.93533,                 2.3596,              0.0015208,              0.0015208,              0.0015208
                    123,                0.81609,                0.90949,                  2.051,                0.91027,                0.71993,                0.88204,                0.75184,                 1.2288,                 1.0361,                 2.4863,              0.0015169,              0.0015169,              0.0015169
                    124,                0.91443,                0.94604,                 2.1473,                 0.8877,                0.71396,                0.86912,                0.75768,                 1.2475,                 1.0984,                 2.4993,              0.0015129,              0.0015129,              0.0015129
                    125,                0.87382,                0.92353,                 2.0773,                0.86784,                0.76261,                 0.8758,                0.76939,                 1.1578,                 1.0385,                 2.3617,               0.001509,               0.001509,               0.001509
                    126,                0.90369,                0.94714,                 2.1037,                0.84369,                0.74194,                0.86539,                0.75043,                 1.3227,                 1.0583,                 2.5438,               0.001505,               0.001505,               0.001505
                    127,                0.84965,                0.91278,                 2.0819,                0.87637,                0.77751,                0.88817,                0.76681,                 1.1979,                0.91754,                 2.4583,               0.001501,               0.001501,               0.001501
                    128,                0.90175,                0.92516,                  2.096,                0.79687,                0.80645,                0.88371,                0.77021,                 1.1381,                0.98377,                 2.3801,              0.0014971,              0.0014971,              0.0014971
                    129,                0.80764,                0.87915,                 2.0187,                0.75488,                0.75503,                0.81924,                0.70621,                 1.2494,                 1.1786,                 2.4723,              0.0014931,              0.0014931,              0.0014931
                    130,                0.88008,                0.92749,                 2.1166,                0.86578,                0.76774,                 0.8824,                0.76718,                 1.1416,                0.97736,                 2.3563,              0.0014892,              0.0014892,              0.0014892
                    131,                 0.8013,                0.83688,                 2.0577,                0.92116,                0.74839,                0.88299,                0.78323,                 1.1375,                 1.0037,                 2.3275,              0.0014852,              0.0014852,              0.0014852
                    132,                0.88435,                0.87836,                 2.0996,                0.77939,                0.83871,                0.87537,                 0.7784,                 1.0714,                0.97855,                 2.3572,              0.0014812,              0.0014812,              0.0014812
                    133,                0.95518,                0.94766,                 2.1422,                0.95364,                0.68387,                0.87413,                0.76259,                  1.205,                 1.0236,                 2.4448,              0.0014773,              0.0014773,              0.0014773
